CustomerID,Lookalikes
C0001,"[('C0107', 0.9896), ('C0174', 0.9717), ('C0011', 0.9672)]"
C0002,"[('C0142', 0.9906), ('C0159', 0.9565), ('C0186', 0.954)]"
C0003,"[('C0174', 0.872), ('C0031', 0.8466), ('C0001', 0.8263)]"
C0004,"[('C0099', 0.9591), ('C0087', 0.9498), ('C0155', 0.94)]"
C0005,"[('C0186', 0.9978), ('C0159', 0.9974), ('C0007', 0.9885)]"
C0006,"[('C0187', 0.8985), ('C0158', 0.896), ('C0011', 0.8755)]"
C0007,"[('C0159', 0.9905), ('C0005', 0.9885), ('C0115', 0.9866)]"
C0008,"[('C0098', 0.9075), ('C0109', 0.903), ('C0122', 0.8907)]"
C0009,"[('C0198', 0.9875), ('C0061', 0.9674), ('C0060', 0.9573)]"
C0010,"[('C0199', 0.9566), ('C0073', 0.9451), ('C0197', 0.9345)]"
C0011,"[('C0107', 0.9858), ('C0001', 0.9672), ('C0174', 0.8928)]"
C0012,"[('C0087', 0.9744), ('C0013', 0.9612), ('C0148', 0.9584)]"
C0013,"[('C0155', 0.9913), ('C0099', 0.9891), ('C0087', 0.9781)]"
C0014,"[('C0060', 0.9996), ('C0063', 0.9854), ('C0198', 0.9707)]"
C0015,"[('C0131', 0.9806), ('C0058', 0.977), ('C0033', 0.9752)]"
C0016,"[('C0183', 0.9582), ('C0079', 0.8617), ('C0026', 0.8551)]"
C0017,"[('C0075', 0.9686), ('C0041', 0.945), ('C0051', 0.9144)]"
C0018,"[('C0046', 0.8075), ('C0059', 0.79), ('C0156', 0.7618)]"
C0019,"[('C0069', 0.9234), ('C0010', 0.8236), ('C0199', 0.823)]"
C0020,"[('C0058', 0.9958), ('C0033', 0.9947), ('C0131', 0.969)]"
C0021,"[('C0093', 0.992), ('C0173', 0.9847), ('C0162', 0.9729)]"
C0022,"[('C0200', 0.9615), ('C0090', 0.9574), ('C0021', 0.9219)]"
C0023,"[('C0037', 0.9229), ('C0105', 0.7612), ('C0149', 0.6927)]"
C0024,"[('C0194', 0.9976), ('C0098', 0.9751), ('C0067', 0.9597)]"
C0025,"[('C0192', 0.9907), ('C0031', 0.9814), ('C0032', 0.9739)]"
C0026,"[('C0079', 0.9461), ('C0185', 0.9013), ('C0183', 0.8924)]"
C0027,"[('C0177', 0.9341), ('C0178', 0.9274), ('C0106', 0.8944)]"
C0028,"[('C0143', 0.9905), ('C0045', 0.9776), ('C0054', 0.9632)]"
C0029,"[('C0094', 0.988), ('C0035', 0.9626), ('C0036', 0.9529)]"
C0030,"[('C0157', 0.9066), ('C0029', 0.8521), ('C0035', 0.8473)]"
C0031,"[('C0025', 0.9814), ('C0192', 0.9786), ('C0129', 0.945)]"
C0032,"[('C0025', 0.9739), ('C0192', 0.9572), ('C0031', 0.9304)]"
C0033,"[('C0058', 0.9984), ('C0020', 0.9947), ('C0015', 0.9752)]"
C0034,"[('C0049', 0.8849), ('C0047', 0.8352), ('C0030', 0.7766)]"
C0035,"[('C0029', 0.9626), ('C0036', 0.9505), ('C0094', 0.9161)]"
C0036,"[('C0029', 0.9529), ('C0035', 0.9505), ('C0094', 0.9366)]"
C0037,"[('C0023', 0.9229), ('C0070', 0.8262), ('C0069', 0.7628)]"
C0038,"[('C0072', 0.9934), ('C0160', 0.9893), ('C0125', 0.8878)]"
C0039,"[('C0169', 0.9889), ('C0113', 0.9588), ('C0181', 0.9341)]"
C0040,"[('C0092', 0.9396), ('C0115', 0.9302), ('C0007', 0.8799)]"
C0041,"[('C0075', 0.961), ('C0053', 0.9601), ('C0017', 0.945)]"
C0042,"[('C0131', 0.9893), ('C0050', 0.9751), ('C0015', 0.9681)]"
C0043,"[('C0177', 0.9336), ('C0146', 0.9329), ('C0178', 0.9118)]"
C0044,"[('C0074', 0.9942), ('C0167', 0.949), ('C0135', 0.9338)]"
C0045,"[('C0145', 0.9896), ('C0143', 0.9839), ('C0028', 0.9776)]"
C0046,"[('C0122', 0.9875), ('C0059', 0.9783), ('C0109', 0.8775)]"
C0047,"[('C0139', 0.9385), ('C0049', 0.9269), ('C0098', 0.8592)]"
C0048,"[('C0184', 0.9435), ('C0190', 0.936), ('C0118', 0.9335)]"
C0049,"[('C0047', 0.9269), ('C0034', 0.8849), ('C0139', 0.8686)]"
C0050,"[('C0042', 0.9751), ('C0125', 0.9555), ('C0131', 0.9531)]"
C0051,"[('C0100', 0.9651), ('C0053', 0.9645), ('C0057', 0.9497)]"
C0052,"[('C0112', 0.9792), ('C0133', 0.9586), ('C0071', 0.9463)]"
C0053,"[('C0057', 0.9736), ('C0182', 0.9706), ('C0114', 0.9696)]"
C0054,"[('C0045', 0.9703), ('C0145', 0.9653), ('C0028', 0.9632)]"
C0055,"[('C0189', 0.993), ('C0116', 0.957), ('C0154', 0.9163)]"
C0056,"[('C0106', 0.9799), ('C0027', 0.8767), ('C0088', 0.8729)]"
C0057,"[('C0100', 0.9754), ('C0053', 0.9736), ('C0182', 0.9568)]"
C0058,"[('C0033', 0.9984), ('C0020', 0.9958), ('C0015', 0.977)]"
C0059,"[('C0046', 0.9783), ('C0122', 0.9455), ('C0065', 0.9201)]"
C0060,"[('C0014', 0.9996), ('C0063', 0.9823), ('C0198', 0.9717)]"
C0061,"[('C0198', 0.9738), ('C0197', 0.972), ('C0009', 0.9674)]"
C0062,"[('C0132', 0.9989), ('C0197', 0.9848), ('C0073', 0.979)]"
